fecha,naics,descripcion,valor_importado,valor_gravable,aranceles,tasa_efectiva,tasa_gravable
2013-01-01,1111,OILSEEDS & GRAINS,4365826,0,0,0.0,
2013-02-01,1111,OILSEEDS & GRAINS,9120359,0,0,0.0,
2013-03-01,1111,OILSEEDS & GRAINS,8964031,0,0,0.0,
2013-04-01,1111,OILSEEDS & GRAINS,8834201,0,0,0.0,
2013-05-01,1111,OILSEEDS & GRAINS,7343282,0,0,0.0,
2013-06-01,1111,OILSEEDS & GRAINS,6910169,0,0,0.0,
2013-07-01,1111,OILSEEDS & GRAINS,7624093,0,0,0.0,
2013-08-01,1111,OILSEEDS & GRAINS,5187398,0,0,0.0,
2013-09-01,1111,OILSEEDS & GRAINS,5850047,0,0,0.0,
2013-10-01,1111,OILSEEDS & GRAINS,5473041,0,0,0.0,
2013-11-01,1111,OILSEEDS & GRAINS,5386901,0,0,0.0,
2013-12-01,1111,OILSEEDS & GRAINS,6597810,0,0,0.0,
2014-01-01,1111,OILSEEDS & GRAINS,7998951,0,0,0.0,
2014-02-01,1111,OILSEEDS & GRAINS,8023292,0,0,0.0,
2014-03-01,1111,OILSEEDS & GRAINS,8885695,0,0,0.0,
2014-04-01,1111,OILSEEDS & GRAINS,8936068,114886,112,1.2533476692433406e-05,0.0009748794457114008
2014-05-01,1111,OILSEEDS & GRAINS,7026991,2240,16,2.2769347505923943e-06,0.007142857142857143
2014-06-01,1111,OILSEEDS & GRAINS,7594562,0,0,0.0,
2014-07-01,1111,OILSEEDS & GRAINS,7445074,0,0,0.0,
2014-08-01,1111,OILSEEDS & GRAINS,8656453,0,0,0.0,
2014-09-01,1111,OILSEEDS & GRAINS,6715327,20744,19,2.829348444238084e-06,0.0009159274971075974
2014-10-01,1111,OILSEEDS & GRAINS,8211072,0,0,0.0,
2014-11-01,1111,OILSEEDS & GRAINS,6387432,3136,22,3.4442636727874363e-06,0.00701530612244898
2014-12-01,1111,OILSEEDS & GRAINS,7052422,0,0,0.0,
2015-01-01,1111,OILSEEDS & GRAINS,7877014,0,0,0.0,
2015-02-01,1111,OILSEEDS & GRAINS,6490169,0,0,0.0,
2015-03-01,1111,OILSEEDS & GRAINS,7278135,0,0,0.0,
2015-04-01,1111,OILSEEDS & GRAINS,6042938,0,0,0.0,
2015-05-01,1111,OILSEEDS & GRAINS,6606808,0,0,0.0,
2015-06-01,1111,OILSEEDS & GRAINS,8604681,0,0,0.0,
2015-07-01,1111,OILSEEDS & GRAINS,10673857,0,0,0.0,
2015-08-01,1111,OILSEEDS & GRAINS,7470496,0,0,0.0,
2015-09-01,1111,OILSEEDS & GRAINS,5184347,0,0,0.0,
2015-10-01,1111,OILSEEDS & GRAINS,4080875,0,0,0.0,
2015-11-01,1111,OILSEEDS & GRAINS,3789593,60000,6,1.583283481893702e-06,0.0001
2015-12-01,1111,OILSEEDS & GRAINS,6395137,0,0,0.0,
2016-01-01,1111,OILSEEDS & GRAINS,8574310,5102,51,5.948000480505137e-06,0.00999607996863975
2016-02-01,1111,OILSEEDS & GRAINS,6370822,0,0,0.0,
2016-03-01,1111,OILSEEDS & GRAINS,5166396,7056,78,1.509756511115292e-05,0.011054421768707483
2016-04-01,1111,OILSEEDS & GRAINS,5578210,0,0,0.0,
2016-05-01,1111,OILSEEDS & GRAINS,4395113,0,0,0.0,
2016-06-01,1111,OILSEEDS & GRAINS,4655891,0,0,0.0,
2016-07-01,1111,OILSEEDS & GRAINS,5964682,0,0,0.0,
2016-08-01,1111,OILSEEDS & GRAINS,6830452,0,0,0.0,
2016-09-01,1111,OILSEEDS & GRAINS,7299244,0,0,0.0,
2016-10-01,1111,OILSEEDS & GRAINS,5752340,0,0,0.0,
2016-11-01,1111,OILSEEDS & GRAINS,5006014,0,0,0.0,
2016-12-01,1111,OILSEEDS & GRAINS,3765524,0,0,0.0,
2017-01-01,1111,OILSEEDS & GRAINS,6092670,0,0,0.0,
2017-02-01,1111,OILSEEDS & GRAINS,6770623,0,0,0.0,
2017-03-01,1111,OILSEEDS & GRAINS,6688248,0,0,0.0,
2017-04-01,1111,OILSEEDS & GRAINS,5830509,24157,281,4.819476309872774e-05,0.011632239102537566
2017-05-01,1111,OILSEEDS & GRAINS,6463439,2352,1,1.5471639788044724e-07,0.00042517006802721087
2017-06-01,1111,OILSEEDS & GRAINS,4872409,0,0,0.0,
2017-07-01,1111,OILSEEDS & GRAINS,6361776,0,0,0.0,
2017-08-01,1111,OILSEEDS & GRAINS,8223427,0,0,0.0,
2017-09-01,1111,OILSEEDS & GRAINS,4343613,0,0,0.0,
2017-10-01,1111,OILSEEDS & GRAINS,5387674,3622,2,3.712177091635463e-07,0.0005521811154058532
2017-11-01,1111,OILSEEDS & GRAINS,5377643,0,0,0.0,
2017-12-01,1111,OILSEEDS & GRAINS,5379714,15360,70,1.3011844124055666e-05,0.004557291666666667
2018-01-01,1111,OILSEEDS & GRAINS,7369095,0,0,0.0,
2018-02-01,1111,OILSEEDS & GRAINS,6493382,0,0,0.0,
2018-03-01,1111,OILSEEDS & GRAINS,6772397,0,0,0.0,
2018-04-01,1111,OILSEEDS & GRAINS,6949258,25166,6,8.634015315016365e-07,0.00023841691170627038
2018-05-01,1111,OILSEEDS & GRAINS,6709609,0,0,0.0,
2018-06-01,1111,OILSEEDS & GRAINS,6108688,0,0,0.0,
2018-07-01,1111,OILSEEDS & GRAINS,5130483,0,0,0.0,
2018-08-01,1111,OILSEEDS & GRAINS,6226511,0,0,0.0,
2018-09-01,1111,OILSEEDS & GRAINS,4571928,0,0,0.0,
2018-10-01,1111,OILSEEDS & GRAINS,5251374,0,0,0.0,
2018-11-01,1111,OILSEEDS & GRAINS,4099617,6721,128,3.1222428826887974e-05,0.01904478500223181
2018-12-01,1111,OILSEEDS & GRAINS,4215581,0,0,0.0,
2019-01-01,1111,OILSEEDS & GRAINS,5836191,0,0,0.0,
2019-02-01,1111,OILSEEDS & GRAINS,4645396,0,0,0.0,
2019-03-01,1111,OILSEEDS & GRAINS,4658437,44347,351,7.534716043170703e-05,0.0079148533158951
2019-04-01,1111,OILSEEDS & GRAINS,7020195,0,0,0.0,
2019-05-01,1111,OILSEEDS & GRAINS,6267686,0,0,0.0,
2019-06-01,1111,OILSEEDS & GRAINS,4397778,0,0,0.0,
2019-07-01,1111,OILSEEDS & GRAINS,5861191,0,0,0.0,
2019-08-01,1111,OILSEEDS & GRAINS,5582402,8820,25,4.478358957309058e-06,0.002834467120181406
2019-09-01,1111,OILSEEDS & GRAINS,5585305,0,0,0.0,
2019-10-01,1111,OILSEEDS & GRAINS,6359687,2400,30,4.717213284238674e-06,0.0125
2019-11-01,1111,OILSEEDS & GRAINS,4088298,0,0,0.0,
2019-12-01,1111,OILSEEDS & GRAINS,4559501,0,0,0.0,
2020-01-01,1111,OILSEEDS & GRAINS,6921620,18119,280,4.045295754462106e-05,0.015453391467520283
2020-02-01,1111,OILSEEDS & GRAINS,8178809,22257,281,3.435708059694266e-05,0.012625241497057106
2020-03-01,1111,OILSEEDS & GRAINS,16619149,30799,149,8.965561353352089e-06,0.004837819409721095
2020-04-01,1111,OILSEEDS & GRAINS,11164858,0,0,0.0,
2020-05-01,1111,OILSEEDS & GRAINS,7653836,0,0,0.0,
2020-06-01,1111,OILSEEDS & GRAINS,8077054,0,0,0.0,
2020-07-01,1111,OILSEEDS & GRAINS,8904701,102026,647,7.265825096204803e-05,0.006341520788818536
2020-08-01,1111,OILSEEDS & GRAINS,5011452,0,0,0.0,
2020-09-01,1111,OILSEEDS & GRAINS,5380051,204957,948,0.00017620650807957024,0.0046253604414584525
2020-10-01,1111,OILSEEDS & GRAINS,3687559,0,0,0.0,
2020-11-01,1111,OILSEEDS & GRAINS,4390773,2872,28,6.377009241880644e-06,0.009749303621169917
