fecha,G321,G327,G331,G332,G333,G334,G335,G3361T3,G3364T9,G337,G339,G311A2,G313A4,G315A6,G322,G323,G324,G325,G326,G21,G2211A2,G2211,G2212,N213111,HITEK2,G3341,G3342,G3344,G3361,G3363,G211,G21112,G21113,N21113G,G21113PQ,G212,N2121,G2122,N21221,G21222,G21223,G2123,G213,G22111,G221111A4T8,N221111,N221114T8,N221112,N221113,G22112,N22112C,N22112M,N22112R,N2212C,N2212M,N2212R,N2212T,G311,G3111,G3112,G3113,G3114,G3115,G31151,N311511,N311512,N311513,N311514,N31152,G3116,G311611T3,N311611T3B,N311611T3P,N311611T3Z,N311615,N3118,G3119,G31192,G312,G3121,N31211,N31212,G3122,G313,G3131,G3132,G3133,G314,G3141,G31411,G3149,G315,G316,N3211,G3212A9,G3212,G321211A2,G321219,G3219,G32191,N32192,G32199,N321991,G3221,N32211,G32212,N32212P,N32213,G3222,N32221,G32222,G32223A9,G32411,N32411A,N32411D,N32411G,N32411R,G32411X,N32412A9,G3254,G325@4,G3251,G32511A9,G32512T8,G32512,G32513,G32518,N32518C,G3252,G32521,N325211,G325212,G32522,G3253,G3255T9,G3255A9,G3255,G32551,G3256,G3261,G3262,G32621,G32622A9,G3271A4A9,G3271A9,G3271,G32711,G32712,G3279,G3274,G3272,G327213,G3273,N32731,N32732T9,G3311A2,G3311A2Q,N3311A2R,G3311A2F,N3311A2B,N3311A2C,N3311A2D,N3311A2E,N3311A2Z,G3313A4,G3313,N331313P,N331314,N331315A8M,N331318E,G3314,G33141,G33141C,N33141N,G3315,N3321,N3322,N3323,G3325,N3326,G3327,N3328,G3329,G332991,G3331,G33311,G333111,G33312,N33313,G3332,G3333A9,G3334T6,G3334,G3335,G3336,G3343,G3345,G3352,G33521,G33522,G335@2,G3351,G3353,G3359,G33591,N33592,G33593T9,G336,G33611,G33611A,G33611T,G33612,G3362,G336212,N336213,G336214,G3364,G336411T3,G3365T9,N3365,G3366,N3369,N3371,G3372A9,N3391,N1133,G5131P,G51311P,G51312T9P,G33611B,G33611U
1919-01-01,,,,,,,,,,,,,,,,,,,,23.5708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919-02-01,,,,,,,,,,,,,,,,,,,,20.8220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919-03-01,,,,,,,,,,,,,,,,,,,,19.8599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919-04-01,,,,,,,,,,,,,,,,,,,,21.2343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919-05-01,,,,,,,,,,,,,,,,,,,,22.1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919-06-01,,,,,,,,,,,,,,,,,,,,22.7461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919-07-01,,,,,,,,,,,,,,,,,,,,24.1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919-08-01,,,,,,,,,,,,,,,,,,,,23.4333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919-09-01,,,,,,,,,,,,,,,,,,,,25.2888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919-10-01,,,,,,,,,,,,,,,,,,,,26.0447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
