rama_scian,nombre_rama,subsector_scian,nombre_subsector_inpp,id_serie_inpp,periodo_inpp,criterio,observaciones
3111,Elaboración de alimentos para animales,311,Industria alimentaria,1370012,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3112,Molienda de granos y de semillas y obtención de aceites y grasas,311,Industria alimentaria,1370012,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3113,"Elaboración de azúcares, chocolates, dulces y similares",311,Industria alimentaria,1370012,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3114,"Conservación de frutas, verduras, guisos y otros alimentos preparados",311,Industria alimentaria,1370012,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3115,Elaboración de productos lácteos,311,Industria alimentaria,1370012,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3116,"Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles",311,Industria alimentaria,1370012,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3117,Preparación y envasado de pescados y mariscos,311,Industria alimentaria,1370012,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3118,Elaboración de productos de panadería y tortillas,311,Industria alimentaria,1370012,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3119,Otras industrias alimentarias,311,Industria alimentaria,1370012,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3121,Industria de las bebidas,312,Industria de las bebidas y del tabaco,1370013,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),El subsector 312 incluye bebidas y tabaco; la rama 3122 (tabaco) comparte deflactor con bebidas.
3122,Industria del tabaco,312,Industria de las bebidas y del tabaco,1370013,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),El subsector 312 incluye bebidas y tabaco; la rama 3122 (tabaco) comparte deflactor con bebidas.
3131,"Preparación e hilado de fibras textiles, y fabricación de hilos",313,Fabricación de insumos textiles y acabado de textiles,1370014,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3132,Fabricación de telas,313,Fabricación de insumos textiles y acabado de textiles,1370014,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3133,Acabado de productos textiles y fabricación de telas recubiertas,313,Fabricación de insumos textiles y acabado de textiles,1370014,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3141,"Confección de alfombras, blancos y similares",314,"Fabricación de productos textiles, excepto prendas de vestir",1370015,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3149,"Fabricación de otros productos textiles, excepto prendas de vestir",314,"Fabricación de productos textiles, excepto prendas de vestir",1370015,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3151,Fabricación de prendas de vestir de tejido de punto,315,Fabricación de prendas de vestir,1370016,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3152,Confección de prendas de vestir,315,Fabricación de prendas de vestir,1370016,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3159,Confección de accesorios de vestir y otras prendas de vestir no clasificados en otra parte,315,Fabricación de prendas de vestir,1370016,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3161,Curtido y acabado de cuero y piel,316,"Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",1370017,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
