id_fuente,nombre_original,ruta_original,nombre_organizado,formato,tamano_bytes,categoria,descripcion,fuente_original,hojas,dimensiones,variables_principales,frecuencia,fecha_inicio,fecha_fin,nivel_desagregacion,paises,generado_por,relacion_con_otras_fuentes,observaciones,sha256
MX_PROD_01,EMIM.xlsx,EMIM.xlsx,data/raw/produccion_mexico/inegi_emim_valores_rama_mensual.xlsx,xlsx,937447,Producción industrial de México,"Encuesta Mensual de la Industria Manufacturera (EMIM), serie 2018. Valores absolutos por sector, subsector, rama y clase SCIAN de cuatro variables: personal ocupado total (personas), horas trabajadas (miles de horas), valor de producción de productos elaborados (miles de pesos corrientes) y valor de ventas de productos elaborados (miles de pesos corrientes).","INEGI, EMIM (consulta del 23/09/2026)",Tabulado,1289 filas x 111 columnas (tabulado ancho: 3 columnas de identificación + 108 meses),Variable; Tipo de dato; Sector SCIAN; columnas mensuales Ene-2018 a Dic-2026,Mensual,2018-01,2026-07,"Sector 31-33, 21 subsectores (3 dígitos), 86 ramas (4 dígitos), 206 clases (6 dígitos) SCIAN",México,Descarga manual (INEGI),Mismas 86 ramas que MX_EXP_01 (columna Clase). Ramas manufactureras comparables con NAICS 4 de MX_ARAN_01 (85 ramas coinciden; 3328 no aparece en Census). Posible complemento de US_PROD_01.,"Encabezado de 6 filas y encabezado doble (año / mes en texto). Las 4 variables están apiladas verticalmente (314 filas cada una). Columnas Ago-Dic 2026 con '-' (sin publicar). 184 celdas 'ND' (confidencialidad) en 5 unidades: 326211, 3343, 334310, 335110, 336991. Filas de notas al pie. Valores nominales, sin ajuste estacional; no es un índice de volumen físico. Cifras definitivas hasta Dic-2024, revisadas Ene-Jul 2025 y preliminares desde Ago-2025.",3fb5a1ab223e453324e168411b6e2078d842fa9fea522b6a0b96ac4c8f1358f5
MX_EXP_01,Exportaciones SCIAN.xlsx,Exportaciones SCIAN.xlsx,data/raw/exportaciones/exportaciones_mex_scian_mensual.xlsx,xlsx,1677020,Exportaciones de México,"Valor mensual de exportaciones de México por clase SCIAN de 6 dígitos (manufacturas 31-33), en pesos y en dólares. Incluye además una tabla dinámica y una hoja de trabajo sobre autopartes.",Por revisar (no documentada en el archivo; estructura consistente con estadísticas de comercio exterior por SCIAN de INEGI),Datos; TD; Autopartes,Datos: 25210 x 7; TD: 94 x 88; Autopartes: 91 x 9,"Datos: Tipo de operación, Año, Mes, SCIAN (6 dígitos), Clase (4 dígitos), Valor en pesos, Valor en dólares. TD: suma de valor en pesos por Año-Mes y rama. Autopartes: fecha, xparts, inpp336, xparts_r, xparts_r_ae y variación porcentual",Mensual,2019-01,2026-07,279 clases SCIAN de 6 dígitos agrupadas en 86 ramas (4 dígitos),México (destino no especificado; total),Descarga manual; hojas TD y Autopartes elaboradas por el usuario,Mismas 86 ramas que MX_PROD_01; 198 de sus 279 clases coinciden con clases EMIM. El tipo de cambio implícito (pesos/dólares) podría contrastarse con MACRO_01.,"'Tipo de operación' vale 2 en todas las filas (presumiblemente exportaciones; código por confirmar). La columna 'Clase' contiene en realidad la rama de 4 dígitos. Algunos valores en pesos están redondeados (p. ej., 466100000). Las hojas TD y Autopartes son derivadas, no datos originales de la fuente. En Autopartes: xparts no coincide con la suma de la rama 3363 de la hoja Datos ni en pesos ni en dólares (origen por revisar); inpp336 parece un índice de precios al productor de la rama 336 con base Jul-2019=100 (por confirmar); xparts_r_ae parece una serie ajustada por estacionalidad (método no documentado).",699a785f282583360b97ce34afc5e8c0d5d2670e7ef7f976ce92894161e89ceb
MX_ARAN_01,aranceles_mex_naics4.csv,data/aranceles_mex_naics4.csv,data/raw/aranceles/aranceles_mex_naics4.csv,csv,1681736,Aranceles,"Importaciones de EE.UU. provenientes de México (CTY_CODE=2010) por NAICS de 4 dígitos: valor importado para consumo, valor gravable y aranceles calculados, con la tasa efectiva (aranceles/valor importado) y la tasa sobre valor gravable.","U.S. Census Bureau, International Trade API (timeseries/intltrade/imports/naics)",,17024 filas x 8 columnas (formato largo),"fecha, naics, descripcion, valor_importado (CON_VAL_MO), valor_gravable (DUT_VAL_MO), aranceles (CAL_DUT_MO), tasa_efectiva, tasa_gravable",Mensual,2013-01,2026-07,"108 ramas NAICS de 4 dígitos (85 manufactureras, agropecuarias, mineras y códigos especiales 9100-9900)",Estados Unidos (importador) / México (origen),code/Python/aranceles_mex_naics4.py,"Clasificación NAICS (EE.UU.) frente a SCIAN (México) de MX_PROD_01 y MX_EXP_01; mide importaciones de EE.UU. desde México, concepto distinto a las exportaciones mexicanas de MX_EXP_01.","Valores en dólares corrientes. Contiene columnas derivadas (tasas). 153 celdas sin tasa por valor importado igual a cero. Algunas ramas sin todos los meses (1121, 1123, 1124, 1133, 1151, 1152, 2121). En 1119 y 3119 los aranceles llegan a superar el valor gravable (aranceles específicos, posiblemente azúcar); pico de 49% en 1119 en Dic-2024. Los aranceles calculados no incluyen necesariamente cuotas compensatorias.",fe1d7a24653bb68e3337078116d0c6397451fa563a0d78bf5e6f94b99b75ad6b
MX_ARAN_02,tasa_efectiva_mex_naics4.csv,data/tasa_efectiva_mex_naics4.csv,data/interim/aranceles/tasa_efectiva_mex_naics4.csv,csv,154911,Aranceles (derivado),Matriz fecha x rama NAICS 4 con la tasa arancelaria efectiva (aranceles calculados / valor importado) de las importaciones de EE.UU. desde México.,Derivado de MX_ARAN_01 (U.S. Census Bureau),,163 filas x 109 columnas (fecha + 108 ramas),fecha; una columna por código NAICS 4,Mensual,2013-01,2026-07,108 ramas NAICS de 4 dígitos,Estados Unidos / México,code/Python/aranceles_mex_naics4.py,"Transformación directa de MX_ARAN_01 (misma información, formato ancho).","Ubicado en data/interim porque es un derivado, no un dato original. Proporciones (no porcentajes) con 6 decimales. Celdas vacías cuando no hubo importaciones.",a6a1f66bd1a07f705121ee63471e60d5bcece50b15e95c7eccaf430d171d704d
US_PROD_01,ip_naics_sa.csv,data/ip_naics_sa.csv,data/raw/produccion_estados_unidos/ip_naics_sa.csv,csv,1437469,Producción industrial de Estados Unidos,Índices de producción industrial de EE.UU. con ajuste estacional para 231 series identificadas con código NAICS.,"Federal Reserve Board, G.17 Industrial Production and Capacity Utilization (ip_sa.txt)",,1292 filas x 232 columnas (fecha + 231 series),"fecha; una columna por serie G.17 (p. ej., G321, G3361T3)",Mensual,1919-01,2026-08,"Mixto: series de 2 a 6 dígitos NAICS, agregados (rangos como 3361-3) y partes de industria ('pt.')",Estados Unidos,code/Python/ip_naics.py,"Descrita por US_PROD_02. Potencial correspondencia con ramas SCIAN de MX_PROD_01, por verificar.",Índice 2017=100 según el script (por confirmar con la documentación del G.17). Inicio de cobertura muy heterogéneo por serie (entre 1919 y 2002); hasta 77% de celdas vacías en algunas columnas. Los códigos NAICS no son todos de 4 dígitos.,aea096ffda93af642578e8ddae0188230fbd4a38b9fa4a75a3fc9fb4169457b2
US_PROD_02,ip_naics_series.csv,data/ip_naics_series.csv,data/raw/produccion_estados_unidos/ip_naics_series.csv,csv,9773,Producción industrial de Estados Unidos (metadatos),"Catálogo de las 231 series de US_PROD_01: identificador, descripción y código NAICS.","Federal Reserve Board, G.17",,231 filas x 3 columnas,"serie, descripcion, naics",No aplica,,,Serie G.17,Estados Unidos,code/Python/ip_naics.py,Diccionario de US_PROD_01.,"El campo naics tiene formatos heterogéneos: rangos (3361-3), listas (3333,9), sufijo 'pt.' (parte de industria). Requiere una tabla de correspondencia antes de cualquier cruce.",3613ae59193dd3884281404722fbd415508b3840b30559f3a91196416981fb28
INC_01,tpu_web_latest.xlsx,tpu_web_latest.xlsx,data/raw/incertidumbre/tpu_caldara_iacoviello.xlsx,xlsx,340712,Incertidumbre comercial,"Índice de incertidumbre de política comercial (TPU) basado en noticias de 7 periódicos de EE.UU., en versiones mensual, trimestral (con volatilidad arancelaria) y diaria.","Caldara, Iacoviello, Molligo, Prestipino y Raffo (Federal Reserve Board)",ReadMe; Series_description; TPU_MONTHLY; TPU_QUARTERLY; TPU_DAILY,TPU_MONTHLY: 800 x 5; TPU_QUARTERLY: 266 x 3; TPU_DAILY: 4282 x 6,"Mensual: DATE, N7, TPU_RAW, TPU_SHARE, TPU. Trimestral: DATEQ, TPUQ, TARIFFVOL. Diaria: DATE, NUMBER_ARTICLES, TPUD_ARTICLES, TPUD_index, TPUD_index_MA7, TPUD_index_MA30",Mensual; trimestral; diaria,1960-01 (mensual y trimestral); 2015-01-01 (diaria),2026-08 (mensual); 2026Q2 (trimestral); 2026-09-21 (diaria),Agregado (EE.UU.),Estados Unidos,Descarga manual,"Una de las tres medidas de incertidumbre, junto con INC_02 e INC_03.","La hoja ReadMe indica cobertura 1985-2020, pero los datos van de 1960 a 2026 (ReadMe desactualizado). TARIFFVOL solo llega a 2018Q4. Índice basado en prensa estadounidense, no específico de México.",b7b3653d3540a6d54d14cddd473a9dffb479a9374d89e0005968503538f87386
INC_02,WUI_M_dataset_2026_08.xlsx,WUI_M_dataset_2026_08.xlsx,data/raw/incertidumbre/wui_ahir_bloom_furceri_2026_08.xlsx,xlsx,646156,Incertidumbre comercial,"World Uncertainty Index mensual: incertidumbre general (WUI), comercial (WTUI) y de política (WPUI) para 71 países, basado en reportes de país de la EIU; incluye conteos de palabras y páginas.","Ahir, Bloom y Furceri (2022), World Uncertainty Index","T0 (descripción); F1, F2, F3 (promedios ponderados por PIB para gráficas); T1 (WUI); T2 (conteo 'uncertainty'); T3 (total de palabras); T4 (total de páginas); T5 (catálogo de países); T6 (WTUI); T7 (WPUI)","T1-T4, T6, T7: 224 x 72 (fecha + 71 países); T5: 71 x 5; F1-F3: 226 x 6",date; columnas por código ISO3 de país (incluye MEX y USA),Mensual,2008-01,2026-08,País (71) y promedio mundial ponderado por PIB,"71 países, incluidos México (MEX) y Estados Unidos (USA)",Descarga manual,"Una de las tres medidas de incertidumbre, junto con INC_01 e INC_03. La hoja T6 (WTUI) es la medida específica de comercio.","Muchos ceros en las series por país (conteos bajos de palabras). Las hojas F contienen además celdas de texto para gráficas. Series escaladas por 1,000 según T0; las escalas de los promedios F1-F3 difieren de las series por país.",111133cf9769be97b420e433bfa79cc3c3876fa5741211ad9b7fa06b0b5e8cae
INC_03,Mexico_Policy_Uncertainty_Data (2).xlsx,Mexico_Policy_Uncertainty_Data (2).xlsx,data/raw/incertidumbre/epu_mexico_baker_bloom_davis.xlsx,xlsx,19762,Incertidumbre de política económica,Índice de incertidumbre de política económica para México basado en noticias (Mexican Policy Uncertainty Index).,"Baker, Bloom y Davis (2016), www.PolicyUncertainty.com",Mexican News-Based Index,370 filas x 3 columnas,"Year, Month, Mexican Policy Uncertainty Index",Mensual,1996-01,2026-08,Agregado nacional,México,Descarga manual,"Una de las tres medidas de incertidumbre, junto con INC_01 e INC_02.","Mide incertidumbre de política económica en general, no específicamente comercial. Year se almacena como texto. La última fila es una nota de fuente, no un dato. El sufijo '(2)' del nombre original sugiere una segunda descarga; no hay otra versión en el repositorio.",5afa78f87900a167435bcd8af444079332d73557b8120ec237986aac5fcaf085
MACRO_01,TC.xlsx,TC.xlsx,data/raw/controles_macroeconomicos/banxico_tipo_cambio_fix_mensual.xlsx,xlsx,19280,Controles macroeconómicos,"Tipo de cambio FIX, pesos por dólar, promedio mensual (serie SF17908).","Banco de México, SIE (consulta del 24/09/2026)",Hoja1,446 filas x 2 columnas (18 filas de metadatos + 428 meses),Fecha; SF17908,Mensual,1991-11 (primer valor distinto de cero),2026-08,Agregado nacional,México / Estados Unidos,Descarga manual,Podría usarse para convertir unidades entre MX_PROD_01 (pesos) y MX_ARAN_01 (dólares); MX_EXP_01 ya trae ambas monedas.,"La serie declara el periodo Ene-1991 a Ago-2026, pero Ene-Oct 1991 vienen en 0 (valores sin dato, no ceros reales). Encabezado de metadatos de 18 filas.",a3a78b505341c2b1282919d3d4809bb5e95691a6994948951ab32fbd576288aa
